,Value,Name,Season,Position,Age,Team
118,78,Gary Cahill,10/11,CB,23,Bolton Wanderers
119,78,Alessandro Diamanti,10/11,CAM,26,West Ham United
120,78,Curtis Davies,10/11,CB,24,Aston Villa
121,78,Abou Diaby,10/11,CM,23,Arsenal
122,78,Johan Djourou,10/11,CB,22,Arsenal
123,78,Niko Kranjčar,10/11,CAM,25,Tottenham Hotspur
124,78,Carlos Cuéllar,10/11,CB,28,Aston Villa
125,78,Pablo Zabaleta,10/11,RB,24,Manchester City
126,78,Benjani Mwaruwari,10/11,ST,31,Manchester City
127,78,Steve Sidwell,10/11,CM,26,Aston Villa
128,78,Emmanuel Eboué,10/11,RM,26,Arsenal
129,78,Paulo Ferreira,10/11,RB,30,Chelsea
130,78,Sotirios Kyrgiakos,10/11,CB,30,Liverpool
131,78,Stephen Warnock,10/11,LB,27,Aston Villa
132,78,Luke Young,10/11,RB,30,Aston Villa
133,78,Damien Duff,10/11,LWM,30,Fulham
134,78,Ledley King,10/11,CB,28,Tottenham Hotspur
135,78,Jermaine Jenas,10/11,CM,26,Tottenham Hotspur
136,78,Morten Gamst Pedersen,10/11,LM,27,Blackburn Rovers
137,78,Barry Ferguson,10/11,CM,31,Birmingham City
138,78,Sylvain Distin,10/11,CB,31,Everton
139,78,Fábio Aurélio,10/11,LWB,29,Liverpool
140,78,Belletti,10/11,RB,33,Chelsea
141,78,Jimmy Bullard,10/11,CM,30,Hull City
142,78,Aaron Hughes,10/11,CB,29,Fulham
143,78,Wes Brown,10/11,CB,29,Manchester United
144,78,Craig Bellamy,10/11,ST,30,Manchester City
145,78,Emile Heskey,10/11,ST,31,Aston Villa
146,78,Ryan Nelsen,10/11,CB,31,Blackburn Rovers
147,77,Christian Benítez,10/11,CF,23,Birmingham City
148,77,Wilson Palacios,10/11,CM,25,Tottenham Hotspur
149,77,Lee Cattermole,10/11,CM,21,Sunderland
150,77,Ryan Shawcross,10/11,CB,21,Stoke City
151,77,Fabrice Muamba,10/11,CDM,21,Bolton Wanderers
152,77,Bradley Guzan,10/11,GK,24,Aston Villa
153,77,Ben Foster,10/11,GK,26,Manchester United
154,77,Valon Behrami,10/11,RM,24,West Ham United
155,77,Leon Osman,10/11,CM,28,Everton
156,77,Kenwyne Jones,10/11,ST,24,Sunderland
157,77,Benoît Assou-Ekotto,10/11,LB,25,Tottenham Hotspur
158,77,Márton Fülöp,10/11,GK,26,Sunderland
159,77,Clint Dempsey,10/11,RM,26,Fulham
160,77,Joe Hart,10/11,GK,22,Birmingham City
161,77,Sylvinho,10/11,LB,35,Manchester City
162,77,Tuncay,10/11,CF,27,Stoke City
163,77,Tom Huddlestone,10/11,CM,22,Tottenham Hotspur
164,77,Matthew Taylor,10/11,LM,27,Bolton Wanderers
165,77,John Utaka,10/11,RF,27,Portsmouth
166,77,Carlton Cole,10/11,ST,25,West Ham United
167,77,Papa Bouba Diop,10/11,CDM,31,Portsmouth
168,77,Paul Scharner,10/11,CB,29,Wigan Athetic
169,77,Paul Robinson,10/11,GK,29,Blackburn Rovers
170,77,Chris Kirkland,10/11,GK,28,Wigan Athetic
171,77,El-Hadji Diouf,10/11,RF,28,Blackburn Rovers
172,77,Kevin Davies,10/11,ST,32,Bolton Wanderers
173,77,Wayne Bridge,10/11,LB,29,Manchester City
174,77,Johan Elmander,10/11,ST,28,Bolton Wanderers
175,77,Carlo Cudicini,10/11,GK,35,Tottenham Hotspur
176,77,Phil Neville,10/11,CDM,32,Everton
177,76,Rafael,10/11,RWB,19,Manchester United
178,76,Michael Johnson,10/11,CM,21,Manchester City
179,76,Giovani dos Santos,10/11,CF,20,Tottenham Hotspur
180,76,Micah Richards,10/11,RB,21,Manchester City
181,76,Jonny Evans,10/11,CB,21,Manchester United
182,76,Carlos Vela,10/11,ST,20,Arsenal
183,76,Sylvan Ebanks-Blake,10/11,ST,23,Wolverhampton Wanderers
184,76,Steven Fletcher,10/11,ST,22,Burnley
185,76,Nedum Onuoha,10/11,CB,22,Manchester City
186,76,Angelos Basinas,10/11,CDM,33,Portsmouth
187,76,Roman Pavlyuchenko,10/11,ST,27,Tottenham Hotspur
188,76,Paulo Da Silva,10/11,CB,29,Sunderland
189,76,Alan Hutton,10/11,RB,24,Tottenham Hotspur
190,76,Kieran Richardson,10/11,LM,24,Sunderland
191,76,Michael Turner,10/11,CB,25,Sunderland
192,76,Luis Antonio Jiménez,10/11,CAM,25,West Ham United
193,76,Benni McCarthy,10/11,ST,31,Blackburn Rovers
194,76,Daniel Cousin,10/11,ST,32,Hull City
195,76,John Mensah,10/11,CB,26,Sunderland
196,76,Dickson Etuhu,10/11,CDM,27,Fulham
197,76,Abdoulaye Faye,10/11,CB,31,Stoke City
198,76,Anton Ferdinand,10/11,CB,24,Sunderland
199,76,Craig Gordon,10/11,GK,26,Sunderland
200,76,Zat Knight,10/11,CB,29,Bolton Wanderers
201,76,David Dunn,10/11,CM,29,Blackburn Rovers
202,76,Boaz Myhill,10/11,GK,26,Hull City
203,76,Mario Melchiot,10/11,RB,32,Wigan Athetic
204,76,Steven Pienaar,10/11,LWM,27,Everton
205,76,Philippe Senderos,10/11,CB,24,Arsenal
206,76,Christopher Samba,10/11,CB,25,Blackburn Rovers
207,76,James McFadden,10/11,CF,26,Birmingham City
208,76,Titus Bramble,10/11,CB,28,Wigan Athetic
209,76,Mikael Silvestre,10/11,CB,32,Arsenal
210,76,Wilfred Bouma,10/11,LB,31,Aston Villa
211,76,Brett Emerton,10/11,RM,30,Blackburn Rovers
212,76,Gary Neville,10/11,RB,34,Manchester United
213,75,Kieran Gibbs,10/11,LWB,19,Arsenal
214,75,Nikola Kalinić,10/11,ST,21,Blackburn Rovers
215,75,Jack Collison,10/11,CM,20,West Ham United
216,75,Jack Rodwell,10/11,CDM,18,Everton
217,75,Kamil Zayatte,10/11,CB,24,Hull City
218,75,Kevin-Prince Boateng,10/11,CM,22,Portsmouth
219,75,Daniel Sturridge,10/11,ST,20,Chelsea
220,75,Wayne Hennessey,10/11,GK,22,Wolverhampton Wanderers
221,75,Martin Paterson,10/11,ST,22,Burnley
222,75,Jamie O'Hara,10/11,CM,22,Portsmouth
223,75,Cameron Jerome,10/11,ST,22,Birmingham City
224,75,Charles N'Zogbia,10/11,LM,23,Wigan Athetic
225,75,Łukasz Fabiański,10/11,GK,24,Arsenal
226,75,Sebastian Larsson,10/11,RM,24,Birmingham City
227,75,James Vaughan,10/11,ST,21,Everton
228,75,Mark Noble,10/11,CM,22,West Ham United
229,75,Kevin Doyle,10/11,ST,25,Wolverhampton Wanderers
230,75,John Paintsil,10/11,RB,28,Fulham
231,75,Hérita Ilunga,10/11,LWB,27,West Ham United
232,75,Michael Kightly,10/11,RWM,23,Wolverhampton Wanderers
233,75,Nigel Reo-Coker,10/11,CM,25,Aston Villa
234,75,Hassan Yebda,10/11,CM,25,Portsmouth
235,75,Diego Cavalieri,10/11,GK,26,Liverpool
236,75,Robert Huth,10/11,CB,25,Stoke City
237,75,Zoltán Gera,10/11,RM,30,Fulham
238,75,Michael Dawson,10/11,CB,25,Tottenham Hotspur
239,75,Zoran Tošić,10/11,LM,22,Manchester United
240,75,Grétar Rafn Steinsson,10/11,RB,27,Bolton Wanderers
241,75,Steve Caldwell,10/11,CB,28,Burnley
242,75,Robbie Blake,10/11,CF,33,Burnley
243,75,Marlon King,10/11,ST,29,Wigan Athetic
244,75,Jason Koumas,10/11,CAM,29,Wigan Athetic
245,75,Brian Jensen,10/11,GK,34,Burnley
246,75,Paul Konchesky,10/11,LB,28,Fulham
247,75,Tony Hibbert,10/11,RB,28,Everton
248,75,Simon Davies,10/11,RM,29,Fulham
249,75,Andrea Dossena,10/11,LWB,27,Liverpool
250,75,Frédéric Piquionne,10/11,ST,30,Portsmouth
251,75,Geovanni,10/11,RWM,29,Hull City
252,75,Pascal Chimbonda,10/11,RB,30,Blackburn Rovers
253,75,Gaël Givet,10/11,CB,27,Blackburn Rovers
254,75,Aruna Dindane,10/11,ST,28,Portsmouth
255,75,Sean Davis,10/11,CDM,29,Bolton Wanderers
256,75,Steven Reid,10/11,CM,28,Blackburn Rovers
257,75,Danny Murphy,10/11,CM,32,Fulham
258,75,James Collins,10/11,CB,26,Aston Villa
259,75,Steed Malbranque,10/11,RM,29,Sunderland
260,75,Kieron Dyer,10/11,CAM,30,West Ham United
261,75,James Beattie,10/11,ST,31,Stoke City
262,75,Luís Boa Morte,10/11,LWM,32,West Ham United
263,75,Ricardo Gardner,10/11,LWM,30,Bolton Wanderers
264,75,Lee Bowyer,10/11,CM,32,Birmingham City
265,75,Antti Niemi,10/11,GK,37,Portsmouth
266,75,Steve Finnan,10/11,RB,33,Portsmouth
267,74,Nenad Milijaš,10/11,CM,26,Wolverhampton Wanderers
268,74,Aaron Ramsey,10/11,CM,18,Arsenal
269,74,Federico Macheda,10/11,ST,18,Manchester United
270,74,Dan Gosling,10/11,RM,19,Everton
271,74,Nathan Delfouneso,10/11,ST,18,Aston Villa
272,74,Jozy Altidore,10/11,ST,19,Hull City
273,74,Michael Mancienne,10/11,CB,21,Wolverhampton Wanderers
274,74,Jordi Gómez,10/11,CAM,24,Wigan Athetic
275,74,Fraizer Campbell,10/11,ST,21,Sunderland
276,74,Hugo Rodallega,10/11,ST,24,Wigan Athetic
277,74,Younes Kaboul,10/11,CB,23,Portsmouth
278,74,Ross Turnbull,10/11,GK,24,Chelsea
279,74,Julien Faubert,10/11,RM,26,West Ham United
280,74,Danny Collins,10/11,CB,29,Stoke City
281,74,Diomansy Kamará,10/11,ST,28,Fulham
282,74,Riga Mustapha,10/11,RWM,27,Bolton Wanderers
283,74,Thomas Sørensen,10/11,GK,33,Stoke City
284,74,Nadir Belhadj,10/11,LWB,27,Portsmouth
285,74,Ricardo Fuller,10/11,ST,29,Stoke City
286,74,Garrido,10/11,LB,24,Manchester City
287,74,Nicky Shorey,10/11,LB,28,Aston Villa
288,74,Marcus Hahnemann,10/11,GK,37,Wolverhampton Wanderers
289,74,Erik Edman,10/11,LB,30,Wigan Athetic
290,74,Andy Reid,10/11,LM,27,Sunderland
291,74,Péter Halmosi,10/11,LM,29,Hull City
292,74,Jason Roberts,10/11,ST,31,Blackburn Rovers
293,74,Matthew Etherington,10/11,LWM,28,Stoke City
294,74,Wade Elliott,10/11,RM,30,Burnley
295,74,Teemu Tainio,10/11,CM,29,Birmingham City
296,74,Habib Beye,10/11,RB,31,Aston Villa
297,74,Olivier Kapo,10/11,LF,28,Wigan Athetic
298,74,Richard Dunne,10/11,CB,29,Manchester City
299,74,Kevin Phillips,10/11,ST,36,Birmingham City
300,74,Erik Nevland,10/11,ST,31,Fulham
301,73,Jack Wilshere,10/11,CAM,17,Arsenal
302,73,José Baxter,10/11,CF,17,Everton
303,73,Danny Welbeck,10/11,CF,18,Manchester United
304,73,Fabian Delph,10/11,CM,19,Aston Villa
305,73,Emiliano Insua,10/11,LWB,20,Liverpool
306,73,David N'Gog,10/11,ST,20,Liverpool
307,73,Maynor Figueroa,10/11,LB,26,Wigan Athetic
308,73,Gareth Bale,10/11,LB,20,Tottenham Hotspur
309,73,Victor Anichebe,10/11,ST,21,Everton
310,73,Armand Traoré,10/11,LWB,19,Arsenal
311,73,Phil Bardsley,10/11,RB,24,Sunderland
312,73,Hilário,10/11,GK,33,Chelsea
313,73,Liam Ridgewell,10/11,CB,25,Birmingham City
314,73,Stephen Hunt,10/11,LM,28,Hull City
315,73,Daniel de Ridder,10/11,RM,25,Wigan Athetic
316,73,Christophe Berra,10/11,CB,24,Wolverhampton Wanderers
317,73,Ronald Zubar,10/11,CB,23,Wolverhampton Wanderers
318,73,Toni Kallio,10/11,CB,31,Fulham
319,73,Tal Ben-Haim,10/11,CB,27,Manchester City
320,73,André Bikey,10/11,CB,24,Burnley
321,73,Chris Iwelumo,10/11,ST,31,Wolverhampton Wanderers
322,73,Paul McShane,10/11,CB,23,Hull City
323,73,Tomasz Kuszczak,10/11,GK,27,Manchester United
324,73,David Healy,10/11,ST,30,Sunderland
325,73,Nyron Nosworthy,10/11,CB,28,Sunderland
326,73,Michael Brown,10/11,CDM,32,Portsmouth
327,73,Bobby Zamora,10/11,ST,28,Fulham
328,73,Philipp Degen,10/11,RWB,26,Liverpool
329,73,Lee Carsley,10/11,CDM,35,Birmingham City
330,73,Jonathan Greening,10/11,CDM,30,Fulham
331,73,Lars Jacobsen,10/11,RB,29,Blackburn Rovers
332,73,Liam Lawrence,10/11,RM,27,Stoke City
333,73,Ian Ashbee,10/11,CDM,32,Hull City
334,73,Danny Gabbidon,10/11,CB,30,West Ham United
335,73,Emmerson Boyce,10/11,CB,29,Wigan Athetic
336,73,Michel Salgado,10/11,RB,33,Blackburn Rovers
337,73,George Boateng,10/11,CDM,33,Hull City
338,73,Nwankwo Kanu,10/11,CF,33,Portsmouth
339,73,Hermann Hreiðarsson,10/11,LB,35,Portsmouth
340,73,Clarke Carlisle,10/11,CB,29,Burnley
341,72,Fábio,10/11,LWB,19,Manchester United
342,72,Franco Matías di Santo,10/11,ST,20,Blackburn Rovers
343,72,Damien Plessis,10/11,CDM,21,Liverpool
344,72,Fran Mérida,10/11,CAM,19,Arsenal
345,72,Craig Gardner,10/11,CM,22,Aston Villa
346,72,Segundo Castillo,10/11,CDM,27,Wolverhampton Wanderers
347,72,Darron Gibson,10/11,CM,21,Manchester United
348,72,Scott Sinclair,10/11,LWM,20,Wigan Athetic
349,72,Glenn Whelan,10/11,CM,25,Stoke City
350,72,Chris Eagles,10/11,RM,23,Burnley
351,72,Tommy Smith,10/11,RWM,29,Portsmouth
352,72,Anthony Vanden Borre,10/11,RWB,21,Portsmouth
353,72,Chung-Yong Lee,10/11,RWM,21,Bolton Wanderers
354,72,Dean Marney,10/11,RM,25,Hull City
355,72,Craig Fagan,10/11,RF,26,Hull City
356,72,Jason Scotland,10/11,ST,30,Wigan Athetic
357,72,Chris Baird,10/11,RB,27,Fulham
358,72,Nicky Hunt,10/11,RB,25,Bolton Wanderers
359,72,Seol Ki-Hyeon,10/11,RM,30,Fulham
360,72,Dan Shittu,10/11,CB,28,Bolton Wanderers
361,72,Roger Johnson,10/11,CB,26,Birmingham City
362,72,Bjørn Helge Riise,10/11,RWM,26,Fulham
363,72,Maik Taylor,10/11,GK,37,Birmingham City
364,72,Stuart Taylor,10/11,GK,28,Manchester City
365,72,George McCartney,10/11,LB,28,Sunderland
366,72,Aaron Mokoena,10/11,CDM,28,Portsmouth
367,72,Garry O'Connor,10/11,ST,26,Birmingham City
368,72,Vincenzo Grella,10/11,CM,29,Blackburn Rovers
369,72,Dean Whitehead,10/11,CM,27,Stoke City
370,72,Gavin McCann,10/11,CM,31,Bolton Wanderers
371,72,Andrew Dawson,10/11,CB,30,Hull City
372,72,Stephen Carr,10/11,RB,33,Birmingham City
373,72,Bernard Mendy,10/11,RB,28,Hull City
374,72,Danny Higginbotham,10/11,LB,30,Stoke City
375,72,Rory Delap,10/11,RM,33,Stoke City
376,71,Daniel Ayala,10/11,CB,18,Liverpool
377,71,Vladimir Weiss,10/11,RM,19,Manchester City
378,71,Mohamed Diamé,10/11,CDM,22,Wigan Athetic
379,71,James McCarthy,10/11,CAM,18,Wigan Athetic
380,71,Giovanny Espinoza,10/11,CB,32,Birmingham City
381,71,Mark Randall,10/11,CM,19,Arsenal
382,71,Chris McCann,10/11,CM,22,Burnley
383,71,Jonathan Spector,10/11,RB,23,West Ham United
384,71,Richard Stearman,10/11,CB,22,Wolverhampton Wanderers
385,71,Sam Ricketts,10/11,RB,27,Bolton Wanderers
386,71,Caleb Folan,10/11,ST,26,Hull City
387,71,David Nugent,10/11,ST,24,Burnley
388,71,Calum Davenport,10/11,CB,26,West Ham United
389,71,Gary McSheffrey,10/11,LWM,27,Birmingham City
390,71,Marlon Harewood,10/11,ST,30,Aston Villa
391,71,Graham Alexander,10/11,CM,37,Burnley
392,71,Hayden Mullins,10/11,CDM,30,Portsmouth
393,71,Keith Andrews,10/11,CDM,28,Blackburn Rovers
394,71,Dave Kitson,10/11,ST,29,Stoke City
395,71,Ivan Klasnić,10/11,ST,29,Bolton Wanderers
396,71,Andrew O'Brien,10/11,CB,30,Bolton Wanderers
397,71,Kevin Kilbane,10/11,LM,32,Hull City
398,70,James Wallace,10/11,CAM,17,Everton
399,70,Junior Stanislas,10/11,RM,19,West Ham United
400,70,Steven N'Zonzi,10/11,CDM,20,Blackburn Rovers
401,70,Kyle Naughton,10/11,RB,20,Tottenham Hotspur
402,70,John Bostock,10/11,CM,17,Tottenham Hotspur
403,70,Ciaran Clark,10/11,CB,19,Aston Villa
404,70,Kamel Fathi Ghilas,10/11,CF,25,Hull City
405,70,David Elm,10/11,ST,26,Fulham
406,70,James Tomkins,10/11,CB,20,West Ham United
407,70,Matthew Jarvis,10/11,LM,23,Wolverhampton Wanderers
408,70,Andrew Keogh,10/11,CF,23,Wolverhampton Wanderers
409,70,Ricardo Vaz Te,10/11,ST,22,Bolton Wanderers
410,70,Tamir Cohen,10/11,CDM,25,Bolton Wanderers
411,70,Keith Fahey,10/11,CM,26,Birmingham City
412,70,Seyi Olofinjana,10/11,CDM,29,Hull City
413,70,Karl Henry,10/11,CM,26,Wolverhampton Wanderers
414,70,Richard Cresswell,10/11,ST,31,Stoke City
415,70,Mamady Sidibe,10/11,ST,29,Stoke City
416,70,Radoslav Kováč,10/11,CDM,29,West Ham United
417,70,Linvoy Primus,10/11,CB,35,Portsmouth
418,70,Jlloyd Samuel,10/11,LB,28,Bolton Wanderers
419,70,Marcus Bent,10/11,ST,31,Birmingham City
420,70,Zurab Khizanishvili,10/11,CB,27,Blackburn Rovers
421,70,Christian Kalvenes,10/11,LB,32,Burnley
422,70,Leon Cort,10/11,CB,29,Stoke City
423,70,Jody Craddock,10/11,CB,34,Wolverhampton Wanderers
424,70,Salif Diao,10/11,CDM,32,Stoke City
425,69,Nemanja Matić,10/11,CM,21,Chelsea
426,69,Hendry Thomas,10/11,CDM,24,Wigan Athetic
427,69,Temitope Obadeyi,10/11,ST,19,Bolton Wanderers
428,69,David Hoilett,10/11,LF,19,Blackburn Rovers
429,69,Gaël Kakuta,10/11,LWM,18,Chelsea
430,69,Martin Olsson,10/11,LB,21,Blackburn Rovers
431,69,Barry Bannan,10/11,LM,19,Aston Villa
432,69,Marc Albrighton,10/11,RM,19,Aston Villa
433,69,Séamus Coleman,10/11,RB,21,Everton
434,69,Stefan Maierhofer,10/11,ST,27,Wolverhampton Wanderers
435,69,David Jones,10/11,CM,24,Wolverhampton Wanderers
436,69,Scott Dann,10/11,CB,22,Birmingham City
437,69,Andy Griffin,10/11,RB,30,Stoke City
438,69,Mike Williamson,10/11,CB,25,Portsmouth
439,69,Daryl Murphy,10/11,ST,26,Sunderland
440,69,Michael Duff,10/11,CB,31,Burnley
441,69,Ibrahima Sonko,10/11,CB,28,Hull City
442,69,Richard Hughes,10/11,CDM,30,Portsmouth
443,69,Matthew Murray,10/11,GK,28,Wolverhampton Wanderers
444,69,Jamie Ashdown,10/11,GK,28,Portsmouth
445,69,Anthony Gardner,10/11,CB,28,Hull City
446,69,Elrio van Heerden,10/11,RM,26,Blackburn Rovers
447,69,Damien Johnson,10/11,CM,30,Birmingham City
448,69,Martin Taylor,10/11,CB,29,Birmingham City
449,69,Joey Guðjónsson,10/11,CM,29,Burnley
450,69,Amdy Faye,10/11,CDM,32,Stoke City
451,69,Steve Simonsen,10/11,GK,30,Stoke City
452,69,Pascal Zuberbühler,10/11,GK,38,Fulham
453,69,Bryan Hughes,10/11,CM,33,Hull City
454,68,Kagiso Dikgacoi,10/11,CDM,24,Fulham
455,68,Dorian Dervite,10/11,CB,21,Tottenham Hotspur
456,68,Nabil El Zhar,10/11,RWM,23,Liverpool
457,68,Gabriel Obertan,10/11,RWM,20,Manchester United
458,68,Manuel Da Costa,10/11,CB,23,West Ham United
459,68,Andranik Teymourian,10/11,CM,26,Fulham
460,68,Danny Rose,10/11,LWM,19,Tottenham Hotspur
461,68,Joey O'Brien,10/11,CM,23,Bolton Wanderers
462,68,Maceo Rigters,10/11,ST,25,Blackburn Rovers
463,68,Andrew Davies,10/11,CB,24,Stoke City
464,68,Tom Soares,10/11,CM,23,Stoke City
465,68,Paul Robinson,10/11,LB,30,Bolton Wanderers
466,68,Stephen Kelly,10/11,RB,25,Fulham
467,68,Danny Pugh,10/11,LM,26,Stoke City
468,68,Nigel Quashie,10/11,CM,31,West Ham United
469,68,Mike Pollitt,10/11,GK,37,Wigan Athetic
470,68,Michael Tonge,10/11,CM,26,Stoke City
471,68,David Murphy,10/11,LB,25,Birmingham City
472,68,Fredrik Stoor,10/11,RB,25,Fulham
473,68,Eddie Johnson,10/11,ST,25,Fulham
474,68,Steven Thompson,10/11,ST,30,Burnley
475,68,Remco Van der Schaaf,10/11,CM,30,Burnley
476,68,Carlo Nash,10/11,GK,35,Everton
477,67,Shane Duffy,10/11,CB,17,Everton
478,67,Rhys Taylor,10/11,GK,19,Chelsea
479,67,Gavin Hoyte,10/11,CB,19,Arsenal
480,67,Kieran Agard,10/11,ST,19,Everton
481,67,Andrew Surman,10/11,CM,23,Wolverhampton Wanderers
482,67,David Edgar,10/11,LB,22,Burnley
