,Team,players_n,market_value,year
1,Liverpool FC,56.0,€1.00bn,2019
2,Tottenham Hotspur,36.0,€806.80m,2019
3,Chelsea FC,36.0,€705.85m,2019
4,Manchester United,43.0,€670.45m,2019
5,Arsenal FC,38.0,€607.65m,2019
6,Everton FC,35.0,€420.55m,2019
7,Leicester City,32.0,€411.10m,2019
8,Wolverhampton Wanderers,44.0,€320.33m,2019
9,West Ham United,38.0,€303.60m,2019
10,AFC Bournemouth,39.0,€272.18m,2019
11,Newcastle United,41.0,€252.48m,2019
12,Aston Villa,38.0,€231.70m,2019
13,Southampton FC,36.0,€210.75m,2019
14,Brighton & Hove Albion,45.0,€200.78m,2019
15,Watford FC,43.0,€199.60m,2019
16,Crystal Palace,33.0,€189.33m,2019
17,Burnley FC,35.0,€163.88m,2019
18,Norwich City,38.0,€145.33m,2019
19,Sheffield United,34.0,€138.60m,2019
