,Season,Pos,Team,Pts,clearances_avg,corners_avg,fouls_conceded_avg,offsides_avg,passes_avg,possession_avg,red_cards_avg,shots_avg,shots_on_target_avg,tackles_avg,touches_avg,yellow_cards_avg,goals_scored_ft_avg,goals_conced_ft_avg,sg_match_ft_acum,goals_scored_ht_avg,goals_conced_ht_avg,sg_match_ht_acum,performance_acum
96,14/15,17,Aston Villa,38,29.7,4.4,10.6,1.9,432.4,48.6,0.2,10.8,3.2,16.6,622.7,1.9,0.84,1.51,-25.0,0.59,0.62,-1.0,34.2
97,14/15,18,Hull City,35,35.3,4.4,11.9,1.8,392.6,44.2,0.2,11.1,3.4,20.2,593.1,1.9,0.89,1.38,-18.0,0.43,0.59,-6.0,30.6
101,15/16,2,Arsenal,71,22.6,6.0,9.1,2.3,557.8,58.2,0.1,15.0,5.5,18.8,772.0,1.1,1.65,0.97,25.0,0.92,0.54,14.0,61.3
104,15/16,5,Manchester United,66,20.1,6.0,12.5,1.9,524.1,58.3,0.0,11.3,3.8,20.1,721.5,1.7,1.24,0.92,12.0,0.54,0.38,6.0,56.8
105,15/16,6,Southampton,63,28.7,5.9,11.1,2.6,419.4,49.1,0.2,13.5,4.4,18.9,624.4,1.5,1.49,1.08,15.0,0.68,0.51,6.0,54.1
108,15/16,9,Stoke City,51,21.6,4.0,11.1,2.6,432.1,49.8,0.1,11.1,3.4,18.4,624.9,1.3,1.05,1.46,-15.0,0.46,0.59,-5.0,43.2
109,15/16,10,Chelsea,50,20.6,6.3,10.8,2.2,517.3,56.2,0.1,13.8,4.6,20.6,719.2,1.6,1.57,1.41,6.0,0.78,0.54,9.0,44.1
110,15/16,11,Everton,47,26.1,5.8,8.4,1.5,474.7,52.0,0.1,12.9,4.5,19.2,679.5,1.2,1.51,1.49,1.0,0.76,0.73,1.0,39.6
111,15/16,12,Swansea City,47,27.9,4.3,10.5,2.2,477.7,52.5,0.0,11.8,3.6,16.9,684.1,1.6,1.11,1.38,-10.0,0.59,0.49,4.0,41.4
112,15/16,13,Watford,45,24.5,4.2,12.1,1.4,381.9,44.8,0.1,11.5,3.6,21.1,587.8,1.9,1.03,1.3,-10.0,0.49,0.51,-1.0,39.6
113,15/16,14,West Bromwich Albion,43,26.1,4.9,10.3,1.8,323.7,39.9,0.1,10.1,2.9,16.8,522.4,1.7,0.89,1.27,-14.0,0.46,0.62,-6.0,37.8
117,15/16,18,Newcastle United,37,24.4,4.3,11.1,1.6,399.1,46.8,0.1,10.2,3.8,20.9,606.9,1.6,1.05,1.73,-25.0,0.41,0.78,-14.0,30.6
120,16/17,1,Chelsea,93,22.6,5.6,10.5,1.7,526.5,54.5,0.0,14.9,5.3,17.2,725.5,1.9,2.16,0.86,48.0,0.97,0.49,18.0,81.1
123,16/17,4,Liverpool,76,23.2,6.6,10.4,2.1,582.1,61.6,0.0,16.6,6.1,19.1,787.6,1.5,2.03,1.14,33.0,1.03,0.54,18.0,65.8
124,16/17,5,Arsenal,75,21.8,6.0,10.5,2.6,566.4,59.0,0.1,14.8,5.2,17.7,765.1,1.8,2.0,1.16,31.0,0.68,0.46,8.0,64.9
125,16/17,6,Manchester United,69,29.1,5.8,13.0,2.7,532.5,56.4,0.1,15.7,5.6,18.0,740.3,2.1,1.41,0.78,23.0,0.7,0.3,15.0,59.5
127,16/17,8,Southampton,46,24.1,5.2,11.2,1.9,479.3,54.3,0.1,14.5,4.7,17.9,680.9,1.5,1.11,1.27,-6.0,0.51,0.49,1.0,41.4
131,16/17,12,Leicester City,44,27.4,5.1,11.9,1.6,358.4,41.7,0.0,11.2,3.8,17.6,551.9,1.8,1.27,1.68,-15.0,0.62,0.86,-9.0,38.7
134,16/17,15,Swansea City,41,27.6,5.1,10.6,1.3,420.1,47.4,0.0,10.6,3.9,16.7,619.8,1.5,1.16,1.86,-26.0,0.46,0.68,-8.0,34.2
135,16/17,16,Burnley,40,32.8,4.0,11.3,2.7,328.7,40.0,0.1,10.4,3.2,16.9,519.6,1.7,1.03,1.43,-15.0,0.41,0.54,-5.0,36.0
136,16/17,17,Watford,40,27.3,4.3,13.6,1.6,371.7,46.4,0.1,11.2,3.8,16.2,570.5,2.2,1.08,1.7,-23.0,0.46,0.84,-14.0,36.0
137,16/17,18,Hull City,34,29.2,4.8,10.5,1.9,413.4,46.1,0.1,10.5,3.3,16.6,603.1,1.8,0.97,1.97,-37.0,0.3,0.68,-14.0,30.6
141,17/18,2,Manchester United,81,22.4,5.8,10.8,2.2,529.8,54.8,0.0,13.6,4.8,14.6,726.1,1.6,1.81,0.76,39.0,0.76,0.38,14.0,70.3
142,17/18,3,Tottenham Hotspur,77,21.8,6.5,10.1,2.3,572.4,62.1,0.1,16.5,5.7,16.2,776.8,1.3,1.86,0.86,37.0,0.7,0.41,11.0,66.7
143,17/18,4,Liverpool,75,19.7,6.0,9.2,1.9,600.7,60.4,0.0,16.6,6.0,16.9,795.3,1.2,2.16,1.03,42.0,0.89,0.46,16.0,64.9
146,17/18,7,Burnley,54,31.5,4.3,9.1,2.6,355.6,43.3,0.0,9.9,3.4,14.0,544.6,1.8,0.95,1.0,-2.0,0.41,0.32,3.0,48.6
149,17/18,10,Newcastle United,44,30.1,4.4,10.8,1.7,368.2,41.6,0.1,11.8,3.9,16.9,565.4,1.4,0.97,1.27,-11.0,0.41,0.51,-4.0,36.9
150,17/18,11,Crystal Palace,44,27.1,5.6,11.2,1.5,373.3,44.7,0.0,12.6,3.9,17.8,584.9,1.9,1.16,1.49,-12.0,0.49,0.78,-11.0,36.9
152,17/18,13,West Ham United,42,26.7,4.2,10.0,2.5,375.4,44.3,0.1,9.6,3.5,16.5,575.0,2.0,1.22,1.81,-22.0,0.51,0.7,-7.0,35.1
155,17/18,16,Huddersfield Town,37,28.4,4.3,10.4,1.8,393.5,45.7,0.1,9.3,2.9,19.6,595.0,1.6,0.76,1.54,-29.0,0.41,0.49,-3.0,33.3
156,17/18,17,Southampton,36,24.9,6.1,11.0,1.9,457.2,52.1,0.1,11.9,3.8,17.1,654.0,1.6,1.0,1.49,-18.0,0.43,0.76,-12.0,32.4
157,17/18,18,Swansea City,33,25.4,3.9,9.9,1.0,410.2,44.7,0.0,8.4,2.5,16.1,595.4,1.4,0.73,1.46,-27.0,0.24,0.65,-15.0,29.7
161,18/19,2,Liverpool,97,16.9,6.6,8.4,2.0,622.6,62.4,0.1,15.2,6.0,16.1,813.9,1.0,2.35,0.59,65.0,1.0,0.27,27.0,84.7
163,18/19,4,Tottenham Hotspur,71,20.4,5.1,9.9,1.9,560.9,59.5,0.1,14.2,5.0,16.3,755.4,1.5,1.76,1.0,28.0,0.81,0.3,19.0,63.1
165,18/19,6,Manchester United,66,20.9,5.1,11.5,2.4,502.2,54.3,0.1,13.5,5.8,15.3,693.6,1.9,1.76,1.41,13.0,0.95,0.59,13.0,59.5
168,18/19,9,Leicester City,52,25.1,5.6,9.2,1.9,452.7,51.2,0.1,13.7,4.9,17.8,659.7,1.5,1.38,1.3,3.0,0.41,0.73,-12.0,45.9
170,18/19,11,Watford,50,25.5,4.6,11.4,2.3,406.6,46.6,0.1,11.4,3.9,17.2,602.5,2.1,1.38,1.49,-4.0,0.49,0.65,-6.0,45.0
171,18/19,12,Crystal Palace,49,24.8,5.4,10.1,2.0,400.4,45.0,0.1,12.9,3.8,19.3,610.4,1.5,1.24,1.35,-4.0,0.46,0.32,5.0,41.4
174,18/19,15,Burnley,40,28.6,3.7,9.4,2.8,342.4,40.7,0.0,9.4,3.0,15.4,534.2,1.9,1.19,1.76,-21.0,0.65,0.78,-5.0,36.0
175,18/19,16,Southampton,39,28.4,5.1,11.1,1.6,374.3,43.1,0.1,12.8,4.3,18.6,579.7,1.9,1.19,1.73,-20.0,0.57,0.81,-9.0,34.2
176,18/19,17,Brighton and Hove Albion,36,23.8,4.2,12.2,2.4,374.7,42.5,0.1,9.9,2.9,18.0,568.8,1.6,0.92,1.51,-22.0,0.43,0.65,-8.0,32.4
178,18/19,19,Fulham,26,26.1,4.2,11.3,2.4,457.7,48.2,0.1,11.8,3.9,15.6,655.9,1.8,0.92,2.08,-43.0,0.41,1.05,-24.0,23.4
181,19/20,2,Manchester City,81,12.7,7.8,9.6,1.9,692.1,66.5,0.1,19.3,6.9,13.6,874.1,1.6,2.62,0.95,62.0,1.24,0.46,29.0,70.3
183,19/20,4,Chelsea,66,15.5,6.6,10.2,1.6,611.2,60.7,0.0,16.6,5.9,16.4,813.9,1.6,1.81,1.46,13.0,0.92,0.57,13.0,56.8
184,19/20,5,Leicester City,62,18.6,5.9,11.0,1.7,526.8,57.8,0.1,14.2,5.1,19.4,730.7,1.1,1.81,1.05,28.0,0.65,0.54,4.0,55.9
187,19/20,8,Arsenal,56,18.3,6.1,11.1,1.9,492.1,54.0,0.1,10.6,3.9,15.4,683.5,2.2,1.43,1.24,7.0,0.68,0.65,1.0,47.7
189,19/20,10,Burnley,54,22.4,4.5,10.8,2.3,336.1,41.1,0.0,10.1,3.6,14.2,524.6,1.7,1.14,1.3,-6.0,0.35,0.7,-13.0,48.6
190,19/20,11,Southampton,52,22.1,5.4,11.9,1.5,404.9,48.4,0.1,13.1,4.8,18.8,614.8,1.4,1.3,1.59,-11.0,0.59,0.73,-5.0,44.1
191,19/20,12,Everton,49,19.1,5.4,12.5,1.6,409.2,48.6,0.1,12.3,4.2,17.4,607.4,1.9,1.16,1.43,-10.0,0.7,0.57,5.0,44.1
192,19/20,13,Newcastle United,44,24.6,4.0,9.7,1.9,345.9,39.0,0.1,10.7,3.5,15.7,535.4,1.8,1.0,1.49,-18.0,0.41,0.59,-7.0,39.6
193,19/20,14,Crystal Palace,43,21.4,4.6,11.2,1.4,385.6,44.5,0.1,9.8,3.2,17.9,592.8,1.6,0.81,1.32,-19.0,0.27,0.51,-9.0,37.8
195,19/20,16,West Ham United,39,19.6,5.1,10.0,1.8,395.2,43.5,0.1,11.0,4.4,18.4,586.6,1.6,1.3,1.65,-13.0,0.68,0.59,3.0,34.2
1,10/11,2,Chelsea,71,20.0,6.8,11.5,2.9,505.4,58.2,0.0,19.6,6.5,20.3,721.9,1.5,1.86,0.86,37.0,0.84,0.51,12.0,64.0
2,10/11,3,Manchester City,71,31.2,5.9,12.8,2.8,467.5,52.9,0.1,14.3,4.6,21.7,680.6,1.9,1.57,0.89,25.0,0.86,0.38,18.0,61.3
3,10/11,4,Arsenal,68,28.3,6.7,12.1,2.5,528.3,59.8,0.2,17.3,6.3,20.5,752.1,1.7,1.89,1.11,29.0,0.89,0.46,16.0,60.4
5,10/11,6,Liverpool,58,28.7,5.6,12.1,2.2,439.7,52.2,0.1,15.4,5.5,24.0,656.8,1.6,1.59,1.16,16.0,0.7,0.38,12.0,52.3
9,10/11,10,Sunderland,47,34.1,4.7,11.7,2.6,371.4,48.1,0.1,13.8,3.8,21.3,593.6,1.5,1.14,1.51,-14.0,0.54,0.54,0.0,39.6
10,10/11,11,West Bromwich Albion,47,28.8,4.9,11.4,2.6,375.9,48.2,0.2,15.7,4.8,19.3,586.4,1.4,1.43,1.84,-15.0,0.51,0.92,-15.0,41.4
14,10/11,15,Blackburn Rovers,43,39.4,4.6,13.2,2.3,294.9,41.4,0.1,11.8,3.4,20.0,511.7,1.7,1.16,1.54,-14.0,0.54,0.43,4.0,36.0
15,10/11,16,Wigan Athletic,42,31.2,4.5,13.1,1.8,400.5,50.2,0.1,13.4,4.5,23.9,619.6,1.7,1.05,1.65,-22.0,0.41,0.68,-10.0,35.1
17,10/11,18,Birmingham City,39,33.6,3.9,11.3,2.4,371.6,48.1,0.1,10.6,3.2,17.1,572.0,1.4,0.97,1.51,-20.0,0.41,0.62,-8.0,35.1
18,10/11,19,Blackpool,39,43.0,4.7,11.7,2.6,398.0,49.9,0.1,13.9,4.2,20.6,622.5,1.2,1.43,2.0,-21.0,0.73,0.92,-7.0,35.1
21,11/12,2,Manchester United,89,30.8,7.3,10.2,2.4,528.8,57.6,0.0,16.9,6.4,21.1,737.9,1.3,2.38,0.89,55.0,1.05,0.22,31.0,77.5
22,11/12,3,Arsenal,70,20.1,6.9,10.7,2.3,544.5,60.2,0.1,16.9,6.3,19.5,748.5,1.7,1.92,1.27,24.0,0.86,0.65,8.0,60.4
24,11/12,5,Newcastle United,65,26.2,4.5,10.6,2.6,383.7,47.1,0.1,12.9,4.1,19.6,583.8,1.8,1.49,1.3,7.0,0.76,0.59,6.0,58.6
27,11/12,8,Liverpool,52,19.1,8.2,10.7,3.5,498.4,56.0,0.1,17.7,5.5,19.1,700.5,1.4,1.27,1.05,8.0,0.59,0.41,7.0,46.8
28,11/12,9,Fulham,52,26.8,5.0,9.9,2.2,463.8,49.4,0.0,14.3,5.1,17.6,654.7,1.4,1.3,1.32,-1.0,0.54,0.59,-2.0,46.8
35,11/12,16,Aston Villa,38,34.7,5.7,10.9,2.2,346.4,44.0,0.1,11.6,3.6,20.6,553.8,1.8,1.0,1.38,-14.0,0.46,0.62,-6.0,34.2
36,11/12,17,Queens Park Rangers,37,36.6,5.3,10.9,2.2,357.3,45.8,0.2,14.5,4.0,20.1,565.7,1.4,1.11,1.7,-22.0,0.51,0.84,-12.0,33.3
37,11/12,18,Bolton Wanderers,36,32.7,5.4,12.4,1.4,359.7,46.5,0.1,12.8,4.3,19.2,572.3,1.3,1.19,2.03,-31.0,0.49,0.76,-10.0,31.5
38,11/12,19,Blackburn Rovers,31,34.8,4.4,12.3,1.5,324.9,41.8,0.1,12.0,3.8,18.1,525.8,1.8,1.27,2.05,-29.0,0.57,0.89,-12.0,27.9
39,11/12,20,Wolverhampton Wanderers,25,31.1,5.5,9.9,2.2,390.0,48.2,0.1,12.5,4.0,16.2,593.5,1.7,1.03,2.14,-41.0,0.43,1.11,-25.0,22.5
40,12/13,1,Manchester United,89,35.1,5.8,10.0,2.5,516.1,56.0,0.0,14.8,5.6,19.4,715.8,1.5,2.19,1.03,43.0,1.14,0.43,26.0,79.3
43,12/13,4,Arsenal,73,23.1,6.9,10.1,2.1,558.2,58.4,0.1,15.9,5.5,19.4,762.6,1.1,1.92,1.0,34.0,0.76,0.59,6.0,63.1
45,12/13,6,Everton,63,30.9,6.8,11.8,2.7,413.6,52.8,0.1,16.6,5.4,18.9,624.9,1.6,1.46,1.03,16.0,0.84,0.51,12.0,56.8
50,12/13,11,Norwich City,44,30.3,4.5,11.5,2.6,354.4,43.3,0.0,10.7,3.4,17.9,545.4,1.6,1.03,1.51,-18.0,0.46,0.68,-8.0,36.9
51,12/13,12,Fulham,43,33.2,4.8,10.9,2.0,447.9,49.3,0.1,12.2,4.2,17.9,653.3,1.3,1.27,1.62,-13.0,0.59,0.65,-2.0,36.0
52,12/13,13,Stoke City,42,30.4,4.4,12.9,1.9,324.4,43.4,0.1,10.3,3.0,19.2,523.1,2.1,0.89,1.19,-11.0,0.41,0.49,-3.0,36.9
54,12/13,15,Aston Villa,41,40.7,4.7,11.9,2.5,373.5,45.6,0.1,11.6,3.7,19.6,586.3,1.9,1.22,1.81,-22.0,0.57,0.62,-2.0,36.0
56,12/13,17,Sunderland,39,30.1,4.8,12.0,1.8,348.3,43.4,0.1,11.1,3.7,20.5,549.6,1.6,1.11,1.43,-12.0,0.59,0.68,-3.0,35.1
58,12/13,19,Reading,28,34.4,5.0,10.4,2.2,309.1,40.4,0.0,10.2,3.3,15.9,515.2,1.2,1.11,1.86,-28.0,0.41,0.76,-13.0,25.2
59,12/13,20,Queens Park Rangers,25,35.7,4.6,10.9,2.9,360.0,45.2,0.1,13.2,3.9,21.5,578.6,1.5,0.81,1.59,-29.0,0.32,0.84,-19.0,22.5
62,13/14,3,Chelsea,82,30.4,6.5,11.2,2.8,478.3,55.0,0.1,17.9,6.0,19.2,695.7,1.5,1.86,0.7,43.0,0.81,0.27,20.0,71.2
63,13/14,4,Arsenal,79,32.0,5.6,9.3,2.0,564.4,56.7,0.1,13.8,5.5,18.8,782.9,1.4,1.78,1.11,25.0,0.68,0.54,5.0,68.5
64,13/14,5,Everton,72,29.3,6.7,9.7,2.1,477.8,55.6,0.0,14.9,5.2,19.8,704.5,1.5,1.59,1.05,20.0,0.51,0.46,2.0,62.2
66,13/14,7,Manchester United,64,36.4,5.8,10.7,2.5,500.7,55.7,0.1,14.0,4.9,17.8,724.3,1.7,1.7,1.14,21.0,0.73,0.57,6.0,56.8
68,13/14,9,Stoke City,50,28.6,4.3,12.9,2.1,400.8,47.2,0.1,11.2,3.6,20.9,611.5,1.9,1.16,1.38,-8.0,0.59,0.54,2.0,42.3
69,13/14,10,Newcastle United,49,29.3,5.1,10.8,2.1,425.8,49.8,0.1,15.4,4.9,19.4,647.8,1.4,1.14,1.54,-15.0,0.54,0.65,-4.0,44.1
70,13/14,11,Crystal Palace,45,37.2,4.5,10.7,1.9,312.1,37.5,0.1,10.8,3.7,22.3,536.4,1.5,0.84,1.24,-15.0,0.32,0.51,-7.0,39.6
71,13/14,12,Swansea City,42,28.4,6.0,9.8,2.1,561.3,57.6,0.1,13.2,4.2,17.6,773.2,1.4,1.38,1.43,-2.0,0.49,0.65,-6.0,35.1
72,13/14,13,West Ham United,40,36.9,5.0,10.8,2.0,327.2,42.9,0.1,11.3,3.3,17.3,542.7,1.6,1.08,1.32,-9.0,0.49,0.54,-2.0,36.0
74,13/14,15,Aston Villa,38,28.3,4.4,13.0,2.3,362.0,43.7,0.0,11.5,3.6,19.7,562.5,2.1,1.05,1.57,-19.0,0.59,0.76,-6.0,34.2
83,14/15,4,Manchester United,70,29.2,5.8,11.8,2.4,561.8,61.2,0.1,13.6,4.8,19.5,766.1,1.7,1.68,1.0,25.0,0.89,0.41,18.0,62.2
84,14/15,5,Tottenham Hotspur,64,27.7,5.9,11.7,2.0,505.4,56.9,0.1,13.8,4.5,21.6,720.8,2.1,1.54,1.43,4.0,0.7,0.73,-1.0,55.0
85,14/15,6,Liverpool,62,31.3,5.1,10.3,2.0,509.7,55.8,0.1,15.6,5.1,21.0,720.5,1.7,1.38,1.14,9.0,0.57,0.51,2.0,55.9
86,14/15,7,Southampton,60,23.2,5.5,12.5,2.3,480.8,53.3,0.1,13.4,4.5,21.4,681.4,1.5,1.46,0.84,23.0,0.65,0.43,8.0,54.1
87,14/15,8,Swansea City,56,31.6,4.0,10.4,2.2,472.6,50.0,0.1,11.4,3.9,16.5,676.5,1.3,1.24,1.3,-2.0,0.51,0.59,-3.0,50.5
